电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
魂断蓝桥,1940 , 美国 , 剧情 爱情 战争, 茂文·勒鲁瓦 Mervyn LeRoy   ,费雯·丽 Vivien Leigh / 罗伯特·...,8.8,163971人评价,中国式内在的美国电影。
恐怖游轮,2009 , 英国 澳大利亚 , 剧情 悬疑 惊悚, 克里斯托弗·史密斯 Christopher Smith   ,梅利莎·乔治 Melissa ...,8.4,456167人评价,不要企图在重复中寻找已经失去的爱。
海街日记,2015 , 日本 , 剧情 家庭, 是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,8.7,212036人评价,是枝裕和的家庭习作。
猜火车,1996 , 英国 , 剧情 犯罪, 丹尼·博伊尔 Danny Boyle   ,伊万·麦克格雷格 Ewan McGregor / ...,8.5,305488人评价,不可猜的青春迷笛。
黑客帝国3：矩阵革命,2003 , 美国 澳大利亚 , 动作 科幻, Andy Wachowski / Larry Wachowski   ,基努·里维斯 Keanu Reeves...,8.7,223836人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
天书奇谭,1983(中国大陆) , 2019(中国大陆重映) , 动画 奇幻, 王树忱 Shuchen Wang / 钱运达 Yunda Qian   ,丁建华 Jianhua Din...,9.1,89832人评价,传奇的年代，醉人的童话。
完美陌生人,2016 , 意大利 , 剧情 喜剧, 保罗·格诺维瑟 Paolo Genovese   ,马可·贾利尼 Marco Giallini ...,8.5,331919人评价,来啊，互相伤害啊！
罗生门,1950 , 日本 , 犯罪 剧情 悬疑, 黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 千秋实 ...,8.8,174479人评价,人生的N种可能性。
阿飞正传,1990 , 香港 , 犯罪 剧情 爱情, 王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.5,293867人评价,王家卫是一种风格，张国荣是一个代表。
香水,2006 , 德国 法国 西班牙 美国 , 剧情 犯罪 奇幻, 汤姆·提克威 Tom Tykwer   ,本·卫肖 Ben Whishaw / 艾伦·瑞克...,8.5,360584人评价,一个单凭体香达到高潮的男人。
